[2025-10-02 07:33:13] INFO: System Operation: accounts - add_account | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"add_account","details":{"account_code":"122003","account_name":"\u0639\u0644\u064a","parent_id":19,"is_basic":0,"is_stock":0,"is_fund":0,"rentable":0,"secret":0}}
[2025-10-02 07:33:13] INFO: System Operation: accounts - account_added | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"account_added","details":{"account_name":"\u0639\u0644\u064a","account_code":"122003","account_type":"regular"}}
[2025-10-02 07:33:17] INFO: System Operation: accounts - add_account | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"add_account","details":{"account_code":"122004","account_name":"\u0645\u062d\u0645\u062f \u0639\u0644\u064a","parent_id":19,"is_basic":0,"is_stock":0,"is_fund":0,"rentable":0,"secret":0}}
[2025-10-02 07:33:17] INFO: System Operation: accounts - account_added | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"account_added","details":{"account_name":"\u0645\u062d\u0645\u062f \u0639\u0644\u064a","account_code":"122004","account_type":"regular"}}
[2025-10-02 07:33:21] INFO: System Operation: accounts - add_account | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"add_account","details":{"account_code":"122005","account_name":"\u0645\u062d\u0645\u062f \u0627\u0644\u062d\u0644\u0648","parent_id":19,"is_basic":0,"is_stock":0,"is_fund":0,"rentable":0,"secret":0}}
[2025-10-02 07:33:21] INFO: System Operation: accounts - account_added | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"account_added","details":{"account_name":"\u0645\u062d\u0645\u062f \u0627\u0644\u062d\u0644\u0648","account_code":"122005","account_type":"regular"}}
[2025-10-02 07:33:31] INFO: System Operation: accounts - add_account | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"add_account","details":{"account_code":"122006","account_name":"\u0645\u062d\u0645\u062f \u062d\u0633\u0646","parent_id":19,"is_basic":0,"is_stock":0,"is_fund":0,"rentable":0,"secret":0}}
[2025-10-02 07:33:31] INFO: System Operation: accounts - account_added | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"account_added","details":{"account_name":"\u0645\u062d\u0645\u062f \u062d\u0633\u0646","account_code":"122006","account_type":"regular"}}
[2025-10-02 07:36:21] INFO: System Operation: accounts - add_account | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"add_account","details":{"account_code":"124002","account_name":"\u0627\u0644\u0628\u0646\u0643 \u0627\u0644\u0627\u0647\u0644\u064a","parent_id":37,"is_basic":0,"is_stock":0,"is_fund":0,"rentable":0,"secret":0}}
[2025-10-02 07:36:21] INFO: System Operation: accounts - account_added | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"account_added","details":{"account_name":"\u0627\u0644\u0628\u0646\u0643 \u0627\u0644\u0627\u0647\u0644\u064a","account_code":"124002","account_type":"regular"}}
